id;nickname;gender;skin;hair;height;tattoo;age;weapon;arrested;convicted;rape;extortion;kidnapping;theft;homicide;arms_trafficking;drug_trafficking;faction;Dc;Bc;Cc;CC;M
EPM0;1;1;2;1;5;0;22;0;0;0;0;0;0;1;0;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
XEBN;0;0;3;0;2;0;59;1;0;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
WUYV;0;1;3;0;3;0;33;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
H0VO;1;1;3;1;3;0;32;0;1;1;0;0;0;1;0;0;1;0;1.0;0.0;1.0;1.0;0.2857142857142857
UQXL;0;1;3;1;3;0;38;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
D4TD;1;1;3;2;3;0;36;1;1;0;0;0;0;1;1;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
PSHM;0;1;3;0;3;0;32;1;1;1;0;0;0;1;0;0;0;0;1.0;0.0;1.0;1.0;0.1428571428571428
CPEJ;1;1;2;1;3;0;38;1;1;1;0;0;0;1;0;0;0;0;1.0;0.0;1.0;1.0;0.4285714285714285
WKUP;0;1;4;3;5;0;32;0;0;0;0;0;0;1;0;0;1;0;1.0;0.0;1.0;0.0;0.2857142857142857
HXMB;0;1;4;3;5;0;30;0;0;0;0;0;0;1;0;0;1;0;1.0;0.0;1.0;0.0;0.2857142857142857
AAI5;0;1;2;1;3;0;36;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
N8YL;0;1;2;1;3;0;26;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
ICJ7;1;1;3;1;2;0;35;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
FUJ2;0;1;3;1;3;0;24;1;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
W7CT;0;1;0;2;3;0;26;1;1;0;0;0;0;0;0;0;1;0;1.0;1.0;1.0;0.0;0.1428571428571428
Y9F7;0;0;3;1;1;0;27;0;1;0;0;0;0;0;0;0;1;0;0.5;0.0;0.6666666666666666;0.0;0.1428571428571428
B0SE;0;1;2;1;0;0;19;0;0;0;0;0;0;0;0;0;1;0;0.5;0.0;0.6666666666666666;0.0;0.1428571428571428
Z2H8;0;1;2;1;3;0;29;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
R3YJ;0;1;3;1;3;0;36;0;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
AGBU;0;0;3;3;5;0;51;0;1;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;1.0;0.1428571428571428
ANNC;1;1;2;1;3;0;28;1;1;0;0;0;0;1;0;0;1;0;1.0;0.0;1.0;1.0;0.4285714285714285
UZWD;0;1;3;1;2;0;31;1;1;1;0;0;0;1;0;0;1;0;1.0;0.0;1.0;1.0;0.2857142857142857
YMPZ;1;1;3;0;0;0;35;1;0;0;0;1;0;1;0;0;1;0;1.0;0.0;1.0;1.0;0.2857142857142857
PYY0;0;1;3;1;5;0;23;0;0;0;0;0;0;0;0;0;1;0;0.3333333333333333;0.0;0.6;0.0;0.0
UTM6;0;1;1;1;3;0;49;0;0;0;0;0;0;0;0;0;0;0;0.6666666666666666;0.0;0.75;1.0;0.1428571428571428
U3A1;0;1;3;1;3;0;22;0;0;0;0;0;0;0;0;0;1;0;1.0;0.6666666666666666;1.0;0.3333333333333333;0.1428571428571428
GIZI;0;1;1;2;3;0;33;0;1;0;0;0;0;0;0;0;0;0;0.6666666666666666;0.0;0.75;1.0;0.0
D5SV;0;1;3;1;2;0;58;0;1;1;0;0;0;0;0;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
HHJP;0;0;3;0;2;0;29;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.0
TSYM;1;1;3;1;3;0;27;0;1;0;0;0;0;0;0;0;0;0;1.0;0.0;1.0;0.0;0.0
RALY;1;1;2;1;2;0;48;0;0;0;0;0;0;0;0;0;0;0;1.0;0.0;1.0;0.0;0.0
HCHU;0;1;2;1;3;0;33;1;0;0;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
L6UG;0;1;2;1;4;0;29;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
DLPT;1;1;1;0;5;0;29;1;0;1;0;0;0;1;0;0;1;0;1.0;1.0;1.0;0.0;0.2857142857142857
CMHL;0;1;4;3;5;0;31;0;0;0;0;0;0;0;0;0;1;0;0.5;0.0;0.6666666666666666;0.0;0.4285714285714285
SCG3;0;1;3;1;5;0;42;1;1;1;0;0;0;1;1;0;1;0;0.5;0.0;0.6666666666666666;0.0;0.1428571428571428
U4V3;0;1;2;1;3;0;31;1;1;1;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
B9H7;0;1;1;1;4;0;28;1;1;1;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
Q8EH;0;1;3;0;2;0;24;1;1;1;0;0;0;0;0;0;0;0;0.5;0.0;0.6666666666666666;0.0;0.0
TIXI;0;1;1;1;3;0;27;1;1;1;0;0;0;0;0;0;0;0;0.5;0.0;0.6666666666666666;0.0;0.1428571428571428
LIHT;0;1;1;2;2;0;25;1;1;1;0;0;0;0;0;0;1;0;1.0;1.0;1.0;0.0;0.0
YAY0;0;1;1;2;2;0;24;0;0;0;0;0;0;0;0;0;0;0;0.2;0.0;0.5;0.0;0.0
IHMT;1;1;1;2;2;0;47;0;1;0;0;0;0;1;0;0;1;0;0.2;0.0;0.4166666666666667;0.0;0.2857142857142857
J8ZU;1;1;3;1;3;0;34;1;1;0;0;0;0;0;1;0;1;0;0.8;0.9;0.8333333333333334;0.0;0.2857142857142857
JRBQ;1;1;2;1;1;0;36;0;1;0;0;0;0;0;0;0;1;0;0.4;0.4;0.625;0.0;0.0
NTJB;0;1;1;0;4;0;35;0;1;0;0;0;0;0;0;0;1;0;0.2;0.0;0.5;0.0;0.1428571428571428
W4Q9;1;1;2;1;2;0;23;0;0;0;0;0;0;0;0;0;0;0;0.2;0.0;0.5;0.0;0.1428571428571428
NYXK;0;0;2;1;3;0;30;1;1;1;0;0;0;1;0;0;0;0;1.0;0.0;1.0;0.0;0.1428571428571428
M8FB;0;1;2;1;4;0;37;0;1;1;0;0;0;0;0;0;0;0;1.0;0.0;1.0;0.0;0.0
X1D0;1;1;2;1;2;0;32;0;1;0;0;0;0;1;0;0;1;0;0.6666666666666666;0.0;0.75;1.0;0.1428571428571428
NHRL;1;1;2;1;2;0;25;0;1;0;0;0;0;0;0;0;1;0;0.6666666666666666;0.0;0.75;1.0;0.1428571428571428
O9TQ;1;1;2;1;3;0;23;0;0;0;0;0;0;0;0;0;1;0;1.0;0.1666666666666666;1.0;0.6666666666666666;0.2857142857142857
G1H4;1;1;2;1;2;0;25;0;0;0;0;0;0;0;0;0;1;0;1.0;0.1666666666666666;1.0;0.6666666666666666;0.1428571428571428
LIHZ;1;1;2;1;3;0;44;0;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
LZDD;1;1;3;1;4;0;39;1;1;1;0;0;0;0;0;0;1;0;1.0;0.0;1.0;0.0;0.1428571428571428
XLY3;0;1;1;0;2;0;31;0;0;0;0;0;0;0;0;0;0;0;1.0;0.0;1.0;0.0;0.0
KZF3;0;1;3;1;2;0;26;0;0;0;0;0;0;0;0;0;0;0;1.0;0.0;1.0;0.0;0.0
M2AM;0;1;1;2;2;0;35;1;0;0;0;0;0;0;0;0;0;0;0.5;0.0555555555555555;0.6666666666666666;0.0;0.1428571428571428
F9S6;0;1;3;1;2;0;29;1;1;0;0;0;0;0;0;0;0;0;0.75;0.25;0.8;0.0;0.0
